
> web@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.105:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 316ms
 GET /api/dashboard/articles 200 in 170ms (compile: 4ms, render: 167ms)
 GET /api/dashboard/articles 200 in 152ms (compile: 4ms, render: 148ms)
 GET /api/dashboard/articles 200 in 152ms (compile: 3ms, render: 149ms)
 GET /api/dashboard/articles 200 in 164ms (compile: 3ms, render: 160ms)
 GET /admin/dashboard/media 200 in 21ms (compile: 4ms, render: 17ms)
 GET /admin/dashboard 200 in 26ms (compile: 5ms, render: 21ms)
 GET /api/engine/trends 200 in 4ms (compile: 1639µs, render: 3ms)
 GET /api/engine/trends 200 in 3ms (compile: 999µs, render: 1756µs)
 GET /api/dashboard/articles 200 in 306ms (compile: 3ms, render: 303ms)
 GET /api/dashboard/articles 200 in 99ms (compile: 1054µs, render: 98ms)
 GET /api/dashboard/articles 200 in 157ms (compile: 2ms, render: 155ms)
 GET /api/dashboard/articles 200 in 146ms (compile: 3ms, render: 144ms)
 GET /api/dashboard/articles 200 in 157ms (compile: 3ms, render: 154ms)
 GET /api/dashboard/articles 200 in 156ms (compile: 3ms, render: 153ms)
 GET /api/dashboard/articles 200 in 180ms (compile: 4ms, render: 176ms)
 GET /api/dashboard/articles 200 in 190ms (compile: 2ms, render: 187ms)
 GET /api/dashboard/articles 200 in 172ms (compile: 2ms, render: 170ms)
 GET /api/dashboard/articles 200 in 180ms (compile: 3ms, render: 177ms)
 GET /admin/dashboard/ai-settings 200 in 58ms (compile: 45ms, render: 13ms)
 GET /admin/dashboard/settings 200 in 45ms (compile: 33ms, render: 12ms)
 GET /admin/dashboard/media 200 in 26ms (compile: 5ms, render: 21ms)
 GET /admin/dashboard 200 in 13ms (compile: 2ms, render: 10ms)
 GET /api/engine/trends 200 in 5ms (compile: 2ms, render: 3ms)
 GET /api/engine/trends 200 in 7ms (compile: 5ms, render: 1672µs)
 GET /api/dashboard/articles 200 in 308ms (compile: 1495µs, render: 307ms)
 GET /api/dashboard/articles 200 in 116ms (compile: 1104µs, render: 115ms)
 GET /api/dashboard/articles 200 in 139ms (compile: 1048µs, render: 138ms)
 GET /api/dashboard/articles 200 in 170ms (compile: 4ms, render: 166ms)
 GET /api/dashboard/articles 200 in 145ms (compile: 1231µs, render: 143ms)
 GET /api/dashboard/articles 200 in 169ms (compile: 4ms, render: 166ms)
 GET /api/dashboard/articles 200 in 165ms (compile: 1556µs, render: 163ms)
 GET /api/dashboard/articles 200 in 146ms (compile: 1075µs, render: 145ms)
 GET /api/dashboard/articles 200 in 161ms (compile: 3ms, render: 158ms)
 GET /api/dashboard/articles 200 in 162ms (compile: 3ms, render: 159ms)
 GET /api/dashboard/articles 200 in 149ms (compile: 2ms, render: 146ms)
 GET /api/dashboard/articles 200 in 157ms (compile: 5ms, render: 151ms)
 GET /api/dashboard/articles 200 in 83ms (compile: 3ms, render: 80ms)
 GET /admin/dashboard 200 in 57ms (compile: 4ms, render: 53ms)
 GET /api/engine/trends 200 in 3ms (compile: 1791µs, render: 1696µs)
 GET /api/dashboard/articles 200 in 78ms (compile: 4ms, render: 74ms)
 POST /api/engine/generate 200 in 52ms (compile: 44ms, render: 9ms)
 GET /api/dashboard/articles 200 in 165ms (compile: 3ms, render: 163ms)
 GET /api/dashboard/articles 200 in 75ms (compile: 3ms, render: 72ms)
 GET /api/dashboard/articles 200 in 156ms (compile: 4ms, render: 151ms)
 GET /api/dashboard/articles 200 in 155ms (compile: 3ms, render: 152ms)
 GET /api/dashboard/articles 200 in 171ms (compile: 3ms, render: 168ms)
 GET /api/dashboard/articles 200 in 154ms (compile: 2ms, render: 152ms)
 GET /api/dashboard/articles 200 in 185ms (compile: 2ms, render: 183ms)
 GET /api/dashboard/articles 200 in 161ms (compile: 3ms, render: 157ms)
 GET /admin/dashboard/articles/44bc96ec-0410-4a61-8c6e-5b8b91398b63 200 in 278ms (compile: 262ms, render: 15ms)
 GET /admin/dashboard/articles 200 in 19ms (compile: 4ms, render: 15ms)
 GET /admin/dashboard 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/engine/trends 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/engine/trends 200 in 3ms (compile: 917µs, render: 1734µs)
 GET /api/dashboard/articles 200 in 457ms (compile: 4ms, render: 453ms)
 GET /api/dashboard/articles 200 in 90ms (compile: 2ms, render: 87ms)
 GET /api/dashboard/articles 200 in 163ms (compile: 4ms, render: 159ms)
 GET /api/dashboard/articles 200 in 153ms (compile: 6ms, render: 147ms)
 GET /api/dashboard/articles 200 in 149ms (compile: 3ms, render: 146ms)
 GET /api/dashboard/articles 200 in 163ms (compile: 3ms, render: 160ms)
 GET /admin/dashboard/media 200 in 25ms (compile: 4ms, render: 21ms)
 GET /admin/dashboard 200 in 22ms (compile: 4ms, render: 19ms)
 GET /api/engine/trends 200 in 3ms (compile: 1178µs, render: 1926µs)
 GET /api/engine/trends 200 in 4ms (compile: 2ms, render: 1957µs)
 GET /admin/dashboard 200 in 11ms (compile: 1638µs, render: 10ms)
 GET /api/dashboard/articles 200 in 204ms (compile: 1064µs, render: 203ms)
 GET /api/dashboard/articles 200 in 85ms (compile: 2ms, render: 83ms)
 GET /api/dashboard/articles 200 in 145ms (compile: 4ms, render: 142ms)
 GET /api/dashboard/articles 200 in 155ms (compile: 2ms, render: 153ms)
 GET /api/dashboard/articles 200 in 148ms (compile: 1135µs, render: 147ms)
 GET /api/dashboard/articles 200 in 147ms (compile: 2ms, render: 144ms)
 GET /api/dashboard/articles 200 in 152ms (compile: 3ms, render: 149ms)
 GET /api/dashboard/articles 200 in 160ms (compile: 4ms, render: 156ms)
 GET /api/dashboard/articles 200 in 166ms (compile: 3ms, render: 163ms)
 GET /api/dashboard/articles 200 in 400ms (compile: 3ms, render: 397ms)
 GET /api/dashboard/articles 200 in 306ms (compile: 4ms, render: 301ms)
 GET /api/dashboard/articles 200 in 296ms (compile: 4ms, render: 292ms)
 GET /api/dashboard/articles 200 in 164ms (compile: 4ms, render: 160ms)
 GET /api/dashboard/articles 200 in 200ms (compile: 3ms, render: 198ms)
 GET /api/dashboard/articles 200 in 204ms (compile: 5ms, render: 199ms)
 GET /api/dashboard/articles 200 in 153ms (compile: 2ms, render: 151ms)
 GET /api/dashboard/articles 200 in 212ms (compile: 4ms, render: 208ms)
 GET /api/dashboard/articles 200 in 207ms (compile: 6ms, render: 201ms)
 GET /api/dashboard/articles 200 in 191ms (compile: 5ms, render: 186ms)
 GET /api/dashboard/articles 200 in 157ms (compile: 4ms, render: 153ms)
 GET /api/dashboard/articles 200 in 196ms (compile: 4ms, render: 192ms)
 GET /api/dashboard/articles 200 in 166ms (compile: 4ms, render: 162ms)
 GET /api/dashboard/articles 200 in 197ms (compile: 3ms, render: 193ms)
 GET /api/dashboard/articles 200 in 231ms (compile: 4ms, render: 227ms)
 GET /api/dashboard/articles 200 in 171ms (compile: 3ms, render: 168ms)
 GET /api/dashboard/articles 200 in 177ms (compile: 1227µs, render: 176ms)
 GET /api/dashboard/articles 200 in 166ms (compile: 4ms, render: 163ms)
 GET /api/dashboard/articles 200 in 202ms (compile: 5ms, render: 197ms)
 GET /api/dashboard/articles 200 in 160ms (compile: 4ms, render: 156ms)
 GET /api/dashboard/articles 200 in 177ms (compile: 3ms, render: 173ms)
 GET /api/dashboard/articles 200 in 181ms (compile: 5ms, render: 176ms)
 GET /api/dashboard/articles 200 in 176ms (compile: 4ms, render: 171ms)
 GET /api/dashboard/articles 200 in 170ms (compile: 4ms, render: 166ms)
 GET /api/dashboard/articles 200 in 202ms (compile: 3ms, render: 198ms)
✓ Compiled in 343ms
 GET /api/dashboard/articles 500 in 230ms (compile: 160ms, render: 70ms)
 GET /api/dashboard/articles 500 in 29ms (compile: 16ms, render: 13ms)
 GET /api/dashboard/articles 500 in 15ms (compile: 7ms, render: 8ms)
 GET /api/dashboard/articles 500 in 24ms (compile: 13ms, render: 11ms)
 GET /api/dashboard/articles 500 in 19ms (compile: 11ms, render: 9ms)
 GET /api/dashboard/articles 500 in 24ms (compile: 12ms, render: 12ms)
✓ Compiled in 46ms
 GET /admin/dashboard 200 in 69ms (compile: 2ms, render: 67ms)
 GET / 200 in 70ms (compile: 16ms, render: 55ms)
 GET /admin/dashboard 200 in 44ms (compile: 1202µs, render: 43ms)
 GET /api/engine/trends 200 in 3ms (compile: 1097µs, render: 2ms)
 GET /api/dashboard/articles 200 in 261ms (compile: 3ms, render: 257ms)
 GET /api/dashboard/articles 200 in 190ms (compile: 5ms, render: 185ms)
 GET /api/dashboard/articles 200 in 152ms (compile: 3ms, render: 148ms)
 GET /api/dashboard/articles 200 in 160ms (compile: 4ms, render: 155ms)
 GET /api/dashboard/articles 200 in 147ms (compile: 1126µs, render: 146ms)
 GET /api/dashboard/articles 200 in 137ms (compile: 1238µs, render: 136ms)
 GET /api/dashboard/articles 200 in 148ms (compile: 3ms, render: 145ms)
 GET /api/dashboard/articles 200 in 146ms (compile: 3ms, render: 143ms)
 GET /api/dashboard/articles 200 in 168ms (compile: 4ms, render: 164ms)
 GET /api/dashboard/articles 200 in 148ms (compile: 1126µs, render: 147ms)
 GET /api/dashboard/articles 200 in 204ms (compile: 4ms, render: 199ms)
 GET /api/dashboard/articles 200 in 150ms (compile: 4ms, render: 146ms)
 GET /api/dashboard/articles 200 in 139ms (compile: 2ms, render: 137ms)
 GET /api/dashboard/articles 200 in 168ms (compile: 4ms, render: 164ms)
 GET /api/dashboard/articles 200 in 154ms (compile: 4ms, render: 150ms)
 GET /api/dashboard/articles 200 in 167ms (compile: 5ms, render: 162ms)
 GET /api/dashboard/articles 200 in 151ms (compile: 4ms, render: 147ms)
 GET /api/dashboard/articles 200 in 160ms (compile: 3ms, render: 157ms)
 GET /api/dashboard/articles 200 in 151ms (compile: 2ms, render: 149ms)
 GET /api/dashboard/articles 200 in 152ms (compile: 4ms, render: 148ms)
 GET /api/dashboard/articles 200 in 188ms (compile: 3ms, render: 184ms)
 GET /api/dashboard/articles 200 in 161ms (compile: 4ms, render: 157ms)
 GET /api/dashboard/articles 200 in 148ms (compile: 4ms, render: 145ms)
